"","X","PPTCohort","PptId","Condition","Gender","Age","BlockNum","TrialNum","trial_index","TrueBernoulliParam","bernoulliEstimate","TrialRingBoolean","error","rt","TimeElapsed","SameTrialPrevResps","trial_index.1"
"1",59540,2,"VFRTYF","Manual","Female","21",1,1,12,0.68,0.51,NA,-0.17,130648,306059,"",12
"2",59541,2,"VFRTYF","Manual","Female","21",1,2,13,0.39,0.39,NA,0,9825,315884,"",13
"3",59542,2,"VFRTYF","Manual","Female","21",1,3,14,0.35,0.51,NA,0.16,3904,319788,"",14
"4",59543,2,"VFRTYF","Manual","Female","21",1,4,15,0.55,0.35,NA,-0.2,2266,322054,"",15
"5",59544,2,"VFRTYF","Manual","Female","21",1,5,16,0.66,0.64,NA,-0.02,2952,325006,"",16
"6",59547,2,"VFRTYF","Manual","Female","21",1,1,19,0.07,0.07,NA,0,3003,343227,"",19
"7",59548,2,"VFRTYF","Manual","Female","21",1,2,20,0.47,0.47,NA,0,1788,345015,"",20
"8",59549,2,"VFRTYF","Manual","Female","21",1,3,21,0.38,0.38,NA,0,1913,346928,"",21
"9",59550,2,"VFRTYF","Manual","Female","21",1,4,22,0.71,0.7,NA,-0.01,1661,348589,"",22
"10",59551,2,"VFRTYF","Manual","Female","21",1,5,23,0.61,0.61,NA,0,1407,349996,"",23
"11",59552,2,"VFRTYF","Manual","Female","21",1,6,24,0.86,0.86,NA,0,1881,351877,"",24
"12",59553,2,"VFRTYF","Manual","Female","21",1,7,25,0.57,0.58,NA,0.01,1749,353626,"",25
"13",59554,2,"VFRTYF","Manual","Female","21",1,8,26,0.58,0.58,NA,0,1410,355036,"",26
"14",59555,2,"VFRTYF","Manual","Female","21",1,9,27,0.43,0.43,NA,0,1436,356472,"",27
"15",59556,2,"VFRTYF","Manual","Female","21",1,10,28,0.01,0,NA,-0.01,2089,358561,"",28
"16",59557,2,"VFRTYF","Manual","Female","21",1,11,29,0.89,0.89,NA,0,1741,360302,"",29
"17",59558,2,"VFRTYF","Manual","Female","21",1,12,30,0.01,0.01,NA,0,2138,362440,"",30
"18",59559,2,"VFRTYF","Manual","Female","21",1,13,31,0.14,0.13,NA,-0.01,1860,364300,"",31
"19",59560,2,"VFRTYF","Manual","Female","21",1,14,32,0.1,0.11,NA,0.01,2250,366550,"",32
"20",59561,2,"VFRTYF","Manual","Female","21",1,15,33,0.61,0.62,NA,0.01,1830,368380,"",33
"21",59562,2,"VFRTYF","Manual","Female","21",1,16,34,0.55,0.55,NA,0,1753,370133,"",34
"22",59563,2,"VFRTYF","Manual","Female","21",1,17,35,0.01,0.01,NA,0,1849,371982,"",35
"23",59564,2,"VFRTYF","Manual","Female","21",1,18,36,0.24,0.24,NA,0,1596,373578,"",36
"24",59565,2,"VFRTYF","Manual","Female","21",1,19,37,0.91,0.91,NA,0,1857,375435,"",37
"25",59566,2,"VFRTYF","Manual","Female","21",1,20,38,0.11,0.12,NA,0.01,1432,376867,"",38
"26",59567,2,"VFRTYF","Manual","Female","21",1,21,39,0.98,0.98,NA,0,1702,378569,"",39
"27",59568,2,"VFRTYF","Manual","Female","21",1,22,40,0.64,0.64,NA,0,1352,379921,"",40
"28",59569,2,"VFRTYF","Manual","Female","21",1,23,41,0.23,0.23,NA,0,1380,381301,"",41
"29",59570,2,"VFRTYF","Manual","Female","21",1,24,42,0.68,0.68,NA,0,1376,382677,"",42
"30",59571,2,"VFRTYF","Manual","Female","21",1,25,43,0.1,0.1,NA,0,1612,384289,"",43
"31",59572,2,"VFRTYF","Manual","Female","21",1,26,44,0.83,0.83,NA,0,1682,385971,"",44
"32",59573,2,"VFRTYF","Manual","Female","21",1,27,45,0.3,0.31,NA,0.01,1882,387853,"",45
"33",59574,2,"VFRTYF","Manual","Female","21",1,28,46,0.74,0.74,NA,0,1361,389214,"",46
